                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.62679,                0.44776,                0.04226,                0.89181,                0.88183,                0.90304,                0.38236,                0.59284,                0.43084,                 0.0495,                 0.0001,                 0.0001,                 0.0001
                     79,                0.63738,                0.45138,                0.04406,                0.89082,                0.88885,                0.90496,                0.38124,                0.59352,                0.43012,                0.04925,                 0.0001,                 0.0001,                 0.0001
                     80,                0.62318,                0.44895,                0.04443,                0.88801,                0.89367,                0.90302,                 0.3818,                0.59444,                 0.4302,                0.04953,                 0.0001,                 0.0001,                 0.0001
                     81,                0.64008,                0.44764,                 0.0439,                0.88916,                0.89661,                0.90552,                0.38369,                0.59251,                0.42934,                0.04937,                 0.0001,                 0.0001,                 0.0001
                     82,                 0.6401,                0.44933,                0.04368,                0.89357,                0.88719,                  0.906,                0.38493,                 0.5922,                0.43105,                0.04999,                 0.0001,                 0.0001,                 0.0001
                     83,                0.63954,                0.44632,                0.04407,                0.88832,                0.89367,                0.90676,                0.38613,                0.59312,                0.43113,                0.04947,                 0.0001,                 0.0001,                 0.0001
                     84,                0.63352,                0.44963,                0.04344,                0.88694,                0.89557,                0.90446,                0.38378,                0.59352,                0.43095,                0.05016,                 0.0001,                 0.0001,                 0.0001
                     85,                0.63182,                0.45037,                0.04248,                 0.8963,                0.89172,                0.90642,                  0.384,                0.59253,                0.43067,                 0.0503,                 0.0001,                 0.0001,                 0.0001
                     86,                0.62323,                0.44809,                0.04326,                0.90502,                0.88568,                0.90724,                0.38697,                0.59014,                0.43066,                0.04967,                 0.0001,                 0.0001,                 0.0001
                     87,                0.63877,                0.44477,                0.04309,                0.90325,                0.88943,                0.90901,                0.38753,                0.58929,                0.42976,                0.04962,                 0.0001,                 0.0001,                 0.0001
                     88,                0.62911,                0.44815,                0.04281,                0.90368,                0.88745,                  0.908,                0.38825,                0.58929,                0.42971,                0.04933,                 0.0001,                 0.0001,                 0.0001
                     89,                0.61866,                0.44769,                0.04152,                0.89892,                0.89074,                0.90689,                0.38919,                0.58869,                0.43008,                0.04886,                 0.0001,                 0.0001,                 0.0001
                     90,                0.61024,                0.44484,                0.04111,                0.89395,                0.89563,                  0.907,                0.38822,                0.58974,                0.42881,                0.04919,                 0.0001,                 0.0001,                 0.0001
                     91,                0.62412,                0.44148,                0.04174,                0.89396,                0.89916,                0.90897,                 0.3874,                0.58887,                0.42949,                0.04931,                 0.0001,                 0.0001,                 0.0001
                     92,                0.61068,                0.44433,                0.04068,                0.88755,                0.90363,                0.90645,                0.38779,                0.58892,                0.42993,                0.04926,                 0.0001,                 0.0001,                 0.0001
                     93,                0.61618,                0.44228,                0.04147,                0.88821,                 0.9018,                0.90727,                0.38791,                0.58901,                0.42994,                0.04918,                 0.0001,                 0.0001,                 0.0001
                     94,                0.62951,                0.44391,                0.04313,                0.89292,                 0.9002,                0.90759,                   0.39,                 0.5891,                 0.4294,                0.04927,                 0.0001,                 0.0001,                 0.0001
                     95,                0.61364,                0.44036,                0.04053,                0.88985,                0.90705,                0.91135,                0.39077,                0.58788,                0.42925,                0.04917,                 0.0001,                 0.0001,                 0.0001
                     96,                0.60964,                0.43982,                0.04072,                0.89698,                0.89739,                0.91039,                0.39087,                0.58826,                0.42874,                0.04919,                 0.0001,                 0.0001,                 0.0001
                     97,                0.62081,                0.44745,                  0.042,                0.89685,                0.90248,                0.91127,                0.39208,                0.58707,                0.42858,                0.04917,                 0.0001,                 0.0001,                 0.0001
                     98,                0.62318,                0.44321,                0.04307,                0.89662,                 0.9052,                0.91242,                0.39211,                 0.5865,                0.42773,                0.04909,                 0.0001,                 0.0001,                 0.0001
                     99,                0.61135,                0.44159,                0.04176,                0.89452,                0.90313,                0.90942,                 0.3929,                0.58562,                0.42785,                0.04901,                 0.0001,                 0.0001,                 0.0001
                    100,                0.62151,                0.44331,                  0.042,                0.89486,                0.90215,                0.90994,                0.39182,                0.58571,                0.42799,                0.04909,                 0.0001,                 0.0001,                 0.0001
                    101,                0.61978,                0.44688,                0.04083,                0.89143,                0.90251,                 0.9099,                0.39174,                0.58526,                0.42801,                0.04904,                 0.0001,                 0.0001,                 0.0001
                    102,                0.61065,                0.44932,                0.04182,                0.89229,                0.90313,                0.90928,                0.39202,                0.58467,                 0.4274,                0.04895,                 0.0001,                 0.0001,                 0.0001
                    103,                0.60725,                0.44458,                0.04086,                0.89667,                 0.9029,                0.91182,                0.39386,                0.58461,                0.42644,                0.04894,                 0.0001,                 0.0001,                 0.0001
                    104,                0.60602,                0.44123,                0.04074,                0.89785,                0.90019,                0.91152,                0.39342,                 0.5843,                0.42678,                0.04888,                 0.0001,                 0.0001,                 0.0001
