time_s,x_simulink_m,theta_simulink_rad,x_multibody_m,theta_multibody_rad
1.38,0.0705236212170809,3.41027859295259,0.070592299895916,3.41049781424932
1.39,0.0834769685649137,3.47814149160582,0.0835320466308734,3.47833305235301
1.4,0.0959874472454498,3.54524951948561,0.0960306395934293,3.54541575709575
1.41,0.107990050730804,3.61149247063993,0.108023297500811,3.61163603140089
1.42,0.119430691748067,3.67677765874073,0.119456043482652,3.67690131477619
1.43,0.130266199064757,3.7410296748201,0.130285714105567,3.74113616702054
1.44,0.14046389432149,3.80418944899024,0.140479555524716,3.80428136565273
1.45,0.150000863234962,3.86621282584947,0.150014516996145,3.86629251968318
1.46,0.15886303170283,3.92706885211219,0.15887634887839,3.92713839284568
1.47,0.167044142566937,3.98673794460446,0.167058598571056,3.98679910114857
1.48,0.174544708766742,4.04521006794847,0.174561578937503,4.04526431275909
1.49,0.181370997779411,4.10248301216265,0.181391363836562,4.10253154059818
1.5,0.187534083420733,4.15856082601318,0.187558847175028,4.15860458449853
1.51,0.193048985662308,4.21345243452443,0.193078886791922,4.21349215271237
1.52,0.197933907458368,4.26717044893071,0.197969542917156,4.26720667244289
1.53,0.202209569403871,4.31973016375968,0.202251412722054,4.3197632852993
1.54,0.20589863782613,4.37114872742599,0.205947057119708,4.37117901500296
1.55,0.209025239127033,4.4214444683478,0.209080512984798,4.42147209004377
1.56,0.211614552758612,4.4706363569864,0.211676883208676,4.47066140214569
1.57,0.21369247897927,4.51874358438499,0.213762000030798,4.51876608139867
1.58,0.215285398518291,4.56578523902256,0.215362175371481,4.56580517002527
1.59,0.216420191850703,4.61178006559038,0.216504187059826,4.61179737845425
1.6,0.217127097799439,4.65674629129912,0.21721788060372,4.65676090931883
1.61,0.217386040027635,4.7007015073204,0.217485728025276,4.70071333696089
1.62,0.217343096279598,4.74366259483275,0.217451389459348,4.7436715318722
1.63,0.216900568178157,4.78564568681664,0.217015418568808,4.78565162117223
1.64,0.216129311630351,4.82666615820324,0.216251352565844,4.82666897768195
1.65,0.215055091502669,4.86673863822879,0.215184349685225,4.86673823140356
1.66,0.213700136281858,4.90587703989529,0.213836580165302,4.9058732982698
1.67,0.212087167728127,4.94409460231132,0.212230741002195,4.94408742190518
1.68,0.210238387832047,4.98140394240827,0.210389020514515,4.98139322486792
1.69,0.208175286257017,5.01781711312062,0.208332899517799,5.01780276644027
1.7,0.205918572772089,5.05334566560754,0.206083081518684,5.05332760452718
1.71,0.203488142975196,5.08800071349624,0.203659457469597,5.08797885963063
