path,filename,datetime,date,time,hour,day_of_week,day_name,month,year
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100255_236_50_1.png,20250814_100255_236_50_1.png,2025-08-14 10:02:55,2025-08-14,10:02:55,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100256_459_75_1.png,20250814_100256_459_75_1.png,2025-08-14 10:02:56,2025-08-14,10:02:56,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100257_687_40_1.png,20250814_100257_687_40_1.png,2025-08-14 10:02:57,2025-08-14,10:02:57,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100258_905_50_1.png,20250814_100258_905_50_1.png,2025-08-14 10:02:58,2025-08-14,10:02:58,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100300_139_75_1.png,20250814_100300_139_75_1.png,2025-08-14 10:03:00,2025-08-14,10:03:00,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100301_355_40_1.png,20250814_100301_355_40_1.png,2025-08-14 10:03:01,2025-08-14,10:03:01,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100302_583_50_1.png,20250814_100302_583_50_1.png,2025-08-14 10:03:02,2025-08-14,10:03:02,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100303_805_75_1.png,20250814_100303_805_75_1.png,2025-08-14 10:03:03,2025-08-14,10:03:03,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100305_034_40_1.png,20250814_100305_034_40_1.png,2025-08-14 10:03:05,2025-08-14,10:03:05,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100306_254_50_1.png,20250814_100306_254_50_1.png,2025-08-14 10:03:06,2025-08-14,10:03:06,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100307_474_75_1.png,20250814_100307_474_75_1.png,2025-08-14 10:03:07,2025-08-14,10:03:07,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100308_697_40_1.png,20250814_100308_697_40_1.png,2025-08-14 10:03:08,2025-08-14,10:03:08,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100309_926_50_1.png,20250814_100309_926_50_1.png,2025-08-14 10:03:09,2025-08-14,10:03:09,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100311_154_75_1.png,20250814_100311_154_75_1.png,2025-08-14 10:03:11,2025-08-14,10:03:11,10,3,Thursday,8,2025
